index,beer/ABV,beer/beerId,beer/brewerId,beer/name,beer/style,review/appearance,review/aroma,review/overall,review/palate,review/taste,review/text,review/timeStruct,review/timeUnix,user/ageInSeconds,user/birthdayRaw,user/birthdayUnix,user/gender,user/profileName;;;;;;;;;;;;
"40163,5.0,46634,14338,Chiostro,Herbed / Spiced Beer,4.0,4.0,4.0,4.0,4.0,""Pours a clouded gold with a thin white head. Nose is quite floral with a larger amount of spices added. Definitely a spice forward fragrance. Flavor has an odd burn that hits on the first sip. After it fades it seems like a dirty vanilla aftertaste. Perhaps this is the absinthe? Regardless of that, I get a quite spiced tone on the tongue. Almost feel a little heat from it. I think that my inexperienced palate on these spices is contributing to my ignorance of what precisely they are. Overall a nice drinker indeed."",""{'min': 38, 'hour': 3, 'mday': 16, 'sec': 10, 'year': 2008, 'wday': 1, 'mon': 12, 'isdst': 0, 'yday': 351}"",1229398690,,,,,RblWthACoz";;;;;;;;;;;;
"8135,11.0,3003,395,Bearded Pat's Barleywine,American Barleywine,4.0,3.5,3.5,3.5,3.0,""12oz bottle into 8oz snifter.		Deep ruby red hue with a one finger light tan head that settles to a thin rim along the glass.		Sharp piercing hops with some light hard candy in the background. 		The hops provide some bitterness, but they aren't as sharp as I would have expected. Mostly a light candy flavor like in the aroma. Full bodied with good carbonation. The finish is some lingering sweet flavor with a bit of bitterness.		A very sweet barleywine with a weird hard candy flavor that seemed to dominate. Not bad, but I would have liked a little more complexity."",""{'min': 38, 'hour': 23, 'mday': 8, 'sec': 58, 'year': 2008, 'wday': 4, 'mon': 8, 'isdst': 0, 'yday': 221}"",1218238738,,,,,BeerSox";;;;;;;;;;;;
"10529,4.7,961,365,Naughty Nellie's Ale,American Pale Ale (APA),3.5,4.0,3.5,3.5,3.5,""First enjoyed at the brewpub about 2 years ago, I finally managed to get a bottle.	Slightly hazy orange-amber topped with a two finger foamy white head.	Very nice fruity aroma, soft and floral, tea and toast.	Fruity, slightly grapefruity hop note, toast and biscuity malt balance. Hoppier and more floral when it warms up.	Light-medium bodied, liked it better on draft but still a solid beer."",""{'min': 7, 'hour': 18, 'mday': 26, 'sec': 2, 'year': 2004, 'wday': 4, 'mon': 11, 'isdst': 0, 'yday': 331}"",1101492422,,,,Male,mschofield";;;;;;;;;;;;
"44610,4.4,429,1,Pilsner Urquell,Czech Pilsener,3.0,3.0,2.5,3.0,3.0,""First thing I noticed after pouring from green bottle to glass was the skunky smell. Overpowering. Lacing was minimal and faded quickly. Bottle had exp date and was still within freshness date. 		Taste was like drinking a milwaukee's best with some skunk. Just couldn't get over the skunky smell to finish my second bottle. Almost $10 a sixer, I would have been better off getting Bud Light."",""{'min': 7, 'hour': 1, 'mday': 20, 'sec': 5, 'year': 2011, 'wday': 0, 'mon': 6, 'isdst': 0, 'yday': 171}"",1308532025,1209827047.0,""Aug 10, 1976"",208508400.0,Male,molegar76";;;;;;;;;;;;
"37062,4.4,4904,1417,Black Sheep Ale (Special),English Pale Ale,4.0,3.0,3.0,3.5,2.5,""A: pours an amber with a one finger head but only with a very strong pour, head recedes to a light layer of foam with some large bubbles and good lacing	S: sweet caramel and bread from the English malts comes through, some mild fruityness on the back end	T: not a lot of complexity with this for me. I didn't expect much considering the style but it's just bland and lacking more bready layers	M/D: more carbonated than I would have wanted. I would expect this to be much better on cask"",""{'min': 51, 'hour': 6, 'mday': 12, 'sec': 48, 'year': 2011, 'wday': 5, 'mon': 3, 'isdst': 0, 'yday': 71}"",1299912708,,,,,Brewbro000";;;;;;;;;;;;
"14095,10.0,21436,14,YouEnjoyMyStout,Russian Imperial Stout,4.0,4.0,4.0,4.0,4.5,""served in a snifter";" on-tap at CBC.		color is the typical imperial stout used motor oil black";" impenetrable. by the time the beer arrived at our table the had had receded into a collar around the glass.		noses offers ample amounts of roastiness, chocolate, molasses and dark fruits, also an atypical tartness to it. not picking up much in the way of bourbon.		flavor imparts more of the same: big notes of roasted malt with chocolate and molasses not far behind, also some dark fruit characters to it and a very distinct and unusual tartness, which adds almost a distinctive flair. more bourbon than i picked up in the aroma but still a subtle presence on that front. medium-full on the palate with average carbonation.		overall a tasty and interesting beer. i like the unique element that the tartness bring";" could use a bigger bourbon presence though. also priced very reasonably at $5.50 a glass."",""{'min': 16, 'hour': 1, 'mday': 20, 'sec': 9, 'year': 2011, 'wday': 1, 'mon': 12, 'isdst': 0, 'yday': 354}"",1324343769,,,,,perrymarcus";;;;;;;;;
"10794,6.5,960,365,Pike India Pale Ale,American IPA,4.0,3.5,3.0,3.0,3.5,""Pours a clear tea-like color with a nice dense cream-colored head. The aroma consists of pungent citrus hops and light sweet malts in the background. The taste is watery with more citrus hop bite with very faint malts lurking in the distant background. It is a little on the astringent side as it is just lacking in malt flavor and aroma. This is a very light bodied beer that finishes slightly dry.		Notes: This could be a good beer on a hot day as it is not at all sticky. Clean and crisp with hops, alcohol, and very little malt character. Not bad, but lacking. Cheers!"",""{'min': 17, 'hour': 4, 'mday': 18, 'sec': 2, 'year': 2004, 'wday': 6, 'mon': 4, 'isdst': 0, 'yday': 109}"",1082261822,,,,,BeerAngel";;;;;;;;;;;;
"38293,9.2,46670,16386,Dank Imperial Red,American Amber / Red Ale,4.0,3.5,4.0,4.0,3.5,""Thanks to exiled for sharing this bottle.		The beer pours light brown with a minimal head. The aroma is very sweet, with malt and caramel. The flavor is sweetness with some light hoppy bitterness at the end. Lots of toffee and caramel. Medium mouthfeel and medium carbonation. Not sure of the date of this bottle, but there was not hardly any hop presence in this beer at all. Still good, just not what I expected."",""{'min': 28, 'hour': 18, 'mday': 17, 'sec': 24, 'year': 2010, 'wday': 2, 'mon': 2, 'isdst': 0, 'yday': 48}"",1266431304,,,,,Mora2000";;;;;;;;;;;;
"40148,5.0,46634,14338,Chiostro,Herbed / Spiced Beer,4.0,4.0,4.0,4.0,4.0,""I had this on tap at kickbacks and I was pleasantly suprised, not a world class bee but somethign different that was good. Typical belgian saison style, somewhat light but some interesting herbal complexity. I don";"t know what wormwood taste like but it was attractive addition to a saison. Try this.... pretty decent but not all world."",""{'min': 10, 'hour': 15, 'mday': 7, 'sec': 8, 'year': 2010, 'wday': 3, 'mon': 10, 'isdst': 0, 'yday': 280}"",1286464208,,,,,CampusCrew";;;;;;;;;;;
"29757,7.2,5441,1199,Founders Centennial IPA,American IPA,3.5,3.5,4.0,4.0,3.5,""The Centennial IPA pours a nicely carbonated reddish gold, with a mild head. Not suprisingly, it smells like hops, nice flowery mild hops. That is pretty much how it tastes too, a bit more flowery than some. Comes with typical IPA cheek pucker and oily mouthfeel. It is as easy to drink as any other IPA, and may get another chance. Too many other IPAs still to try before this one's number gets called again though."",""{'min': 40, 'hour': 0, 'mday': 11, 'sec': 0, 'year': 2004, 'wday': 6, 'mon': 4, 'isdst': 0, 'yday': 102}"",1081644000,1203865447.0,""Oct 18, 1976"",214470000.0,Male,hustlemuscle";;;;;;;;;;;;
"19174,10.5,21822,1199,Founders Imperial Stout,Russian Imperial Stout,4.5,4.5,4.0,4.0,4.5,Founders Imperial Stout is a tasty RIS with some smokey character.		A: Black with good 15 mm head. 4.5		S: Smells malty with some roasty/smokey character. 4.5		T: Roasty malt and coffee and into a smokey aftertaste. 4.5		M: Thick and good. 4		O: Yum. Not as good as the KBS I just had though. 4,""{'min': 56, 'hour': 2, 'mday': 24, 'sec': 56, 'year': 2011, 'wday': 2, 'mon': 8, 'isdst': 0, 'yday': 236}"",1314154616,,,,,vandemonian";;;;;;;;;;;;
"13863,6.0,17183,14,EZ Ryeder,Rye Beer,4.0,4.5,4.0,4.0,4.5,""I had this on tap at CBC, Being an IPA that includes rye grain, the immediate comparison would be to Hop Rod Rye from Bear Republic, but this beer has a style and character all its own. It poured very hazy deep copper color with a decent cream colored head. There was decent head retention and lace. Mild citrus and hop flower aromas rose from the glass along with just a slight nutty character. Nice hop bitterness up front with a citrus back. Mild malt sweetness, and again just a hint of the nutty rye flavor. Bitterness lingers. Slightly slick mouth feel good drinkability. Ive begun to enjoy hoppy rye beers such as this. I hope CBC brews more in the future."",""{'min': 1, 'hour': 15, 'mday': 29, 'sec': 39, 'year': 2005, 'wday': 5, 'mon': 1, 'isdst': 0, 'yday': 29}"",1107010899,,,,,carln26";;;;;;;;;;;;
"35307,5.5,13350,3268,Pumpkin Ale,Pumpkin Ale,3.0,4.0,5.0,4.5,4.5,""Pours a murky amber with a nice off-white head. There's enough yeast in this bottle to brew a batch without a starter. It's outta control. 		Nose is quite spicy, with the cinnamon and nutmeg jumping out at you and little else escaping. It's rich and full in the mouth, fairly spicy with the spcies lasting long into the finish. As it warms, the soft, bready aspects rise up and the pumpkin flavor becomes predominant. The level of spice remains high, but now it's balanced just wonderfully with the malt and pumpkin. The finish is long, spicy and rounded out with that breadiness.		So drinkable that I went through three and only stopped because I didn't want to run out before Friday night.		Really, really nice. I don't like pumpkin beers. I really like this beer, though, it'll be a regular in my fridge until it's season is gone. 			Top-noch effort from the area's quirkiest brewery."",""{'min': 24, 'hour': 16, 'mday': 28, 'sec': 50, 'year': 2005, 'wday': 4, 'mon': 10, 'isdst': 0, 'yday': 301}"",1130516690,1110294247.0,""Oct 6, 1979"",308041200.0,Male,nogoodreason";;;;;;;;;;;;
"16164,12.0,17538,1199,Founders Devil Dancer,American Double / Imperial IPA,4.0,4.0,4.0,4.5,4.0,""Got this from a best friend that shipped it back from his vacation. 		The appearance is an amber to brighter red. This is actually the color of a red ale. It pours a one finger head with a crisp carbonation. 		The smell is of a sweet sweet alcohol and bitter hops. Also some honey and citrus. 		The taste is good, but the alcohol presence is clear. It tastes more like a strong ale, something along the lines of a Arrogant Bastard. It is good, a real oily mouthfeel. Hop flavors abound, really nice, also a warm cinnamon flavor as well. 		The drinkabilty is good. You can taste the alcohol once it warms up, but really nothing spectacular stands out. The nice aspect to the brew, as stated earlier, is the oil that coats the mouth when a taste is taken. Overall a good beer, nothing outstanding, but worth trying. 		J"",""{'min': 53, 'hour': 23, 'mday': 30, 'sec': 4, 'year': 2009, 'wday': 3, 'mon': 7, 'isdst': 0, 'yday': 211}"",1248997984,,,,,Jmoore50";;;;;;;;;;;;
"638,6.1,10784,1075,Caldera IPA,American IPA,4.0,4.0,4.0,4.0,4.0,""I had this one on tap at the Horse Brass in Portland, Oregon. It came in dark orange/golden color with a good sized frothy white head that left lacing on the glass all the way down. It smelled very hoppy and sweet/sour in a citrus way as well. The taste was great. Very hoppy and bitter with a kind of sweet citrus tone to it as well. Mouthfeel was good, this one has some bite and it left a dry/bitter aftertaste that made my mouth water for more. Overall this is a good beer, tastes great, goes down smooth, doesn't disappoint."",""{'min': 55, 'hour': 22, 'mday': 25, 'sec': 3, 'year': 2005, 'wday': 4, 'mon': 3, 'isdst': 0, 'yday': 84}"",1111791303,,,,,bootylicious";;;;;;;;;;;;
"3909,8.4,52211,14879,Frog's Hollow Double Pumpkin Ale,Pumpkin Ale,3.5,4.0,4.0,4.0,4.0,""Got this brew in a recent BIF. Thanks Auslander. 22oz bottle, 2010...		A: A beautiful orange / iced tea blended color with no head at all. Decent.		S: I get some brown sugar, nutmeg, and pumpkin upfront with some sweet caramel malt in the middle and some, almost ketchup scent on the backend. Who doesn't like ketchup? Good.		T: I get some heavy pumpkin flavor upfront with boozy nutmeg and piney flavors in the middle and some ginger and clove on the backend. Good.		M: Medium body with a nice carbonation feel flirting with thick carbonation. Good.		D: Goes down good despite the blend of flavors. Good.		All in all, this is a solid brew. Not amazing, but good. Good to try if you like Pumpkin ales. Otherwise, don't bother hunting down."",""{'min': 23, 'hour': 3, 'mday': 16, 'sec': 51, 'year': 2010, 'wday': 5, 'mon': 10, 'isdst': 0, 'yday': 289}"",1287199431,,,,Male,steve8robin";;;;;;;;;;;;
"47650,4.75,1154,394,Stoudt's Fest,MÃ¤rzen / Oktoberfest,4.0,4.0,4.5,4.5,4.5,""A great Helles O-fest.		A: Bronze with an off-white head, good retention & lacing.		S: Steelie grass, floral & herbal with some bread & toffee from the malt.		T: Steelie grass, minty herbalness, floral, toffee, bread, good bitterness, hints of earthy sulfur from the lager yeast.		M: Moderate body is smooth with a crisp, slightly off-dry finish.		D: Lovin' it."",""{'min': 34, 'hour': 20, 'mday': 17, 'sec': 15, 'year': 2010, 'wday': 6, 'mon': 1, 'isdst': 0, 'yday': 17}"",1263760455,,,,,Derek";;;;;;;;;;;;
"20991,8.3,11757,1199,Founders Breakfast Stout,American Double / Imperial Stout,4.0,4.0,4.5,4.0,4.5,""12oz stubby brown bottle, poured into a brandy snifter.		A: Pours that standard, jet black, inky dark, midnight on a moonless night kind of deal that is pretty much standard for imperial stouts. The viscosity seems a bit low, coming out of the bottle at least, but picks up a bit when I swirll it around in the glass and after ever sip as the liquid slowly sinks down to join the rest of the beer. Long story short, this beer has some decent legs. Head forms quick and thick, a good half inch of mocha colored, pillowy soft bubbles. However, the head fades down into a cap not long after, but still manages to leave behind some spotty lacing. Not bad, but certainly not great, I've seen stouts much larger than this still manage to muster up some considerable retention and lacing that far outpaces what is being offered up here. Still though the overall presentation is beguiling. 		S: In a word: dry. Dry, mildly floral hoppiness, coupled with cold pressed coffee grounds, bitter chocolate and a suprisingly sweet milkiness, which becomes more pronouced as the beer warms.		T/MF: While I think Peche Mortel has this one beat on taste and feel, Breakfast Stout does not dissapoint. It brings the coffee like not many other stouts can, while still retaining a good deal of complexity. There is coffee here and lots of it, but there is also tobacoo and licorice. This beer is also a great deal drier than other coffee stouts I've come across, not nearly as dry as Beer Geek Breakfast, but dry and constricting nonetheless. While this is not a bad thing, it is also not an entirely good thing as it detracts just a bit from the mouthfeel, which feels chalky at times, and the puckering of the taste buds covers up an otherwise complex beer.		D: An easy sipper, a real joy to drink. Goes great with a football game at night and no work the next morning. Makes for a very relaxing drinking experience, something that other beers seem to lack at times. That is to say, this is a beer that makes you want to take your time, makes you want to hold on and get everything you can out of it before the bottle is gone."",""{'min': 58, 'hour': 18, 'mday': 6, 'sec': 45, 'year': 2008, 'wday': 0, 'mon': 10, 'isdst': 0, 'yday': 280}"",1223319525,,,,Male,bluemoonswoon";;;;;;;;;;;;
